"Datum","Transaktionsstatus","Transaktionstyp","Transaktionsnummer","Produktdetails","Artikelpreise gesamt","Gesamtsumme der Aktionsrabatte","Amazon-Gebühren","Andere","Summe (EUR)"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-7604957-6463548","Tajima DC561 DRIVER Cuttermesser/Cutter ...","11.42","0","-3.98","2.17","9.61"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-8414020-9869168","Estwing #16-16 Pfanne mit Lanyard-Loch, ...","15.72","0","-6.06","2.99","12.65"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-6053990-6815526","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-2958948-2865169","Sägeblatt Hayauchi 390","73.82","0","-11.42","14.02","76.42"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","305-8240335-1173967","ARBORTECH Contour Sander | Ø 50 mm Mini ...","66.34","0","-14.21","12.61","64.74"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","028-1453021-1175526","Tajima Schlagschnurgerät Chalk-Rite Dura...","26.92","-0.83","-7.25","5.94","24.78"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","303-5206261-5043507","SONAX Aktionsset KratzerEntferner Lack (...","10.46","0","-4.96","1.99","7.49"
"12.1.2023","Veröffentlicht","Commingling VAT","1410294933","Stehle HW HKS-Massiv Kreissägeblatt für Akku-Handkreissägen 136x1,5/1,0x20mm Z=24 Flachzahn mit Wechselzahn","0","0","0","-8.14","-8.14"
"12.1.2023","Veröffentlicht","Commingling VAT","1410294933","Stehle HW HKS-Massiv Kreissägeblatt für Akku-Handkreissägen 136x1,5/1,0x20mm Z=24 Flachzahn mit Wechselzahn","0","0","0","8.14","8.14"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","302-3476369-7631513","Tajima Ersatzklingen für Cutter (Breite ...","14.66","0","-4.64","2.79","12.81"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285623","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","-1.73","-1.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285623","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","1.43","1.43"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285403","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","-1.73","-1.73"
"12.1.2023","Veröffentlicht","Commingling VAT","1410285403","Tajima Extrastarke Cutterklinge (Ersatzklinge) 22mm für Cutter DC690, DC680, DC610 - LB62H 10 stück","0","0","0","1.43","1.43"
"12.1.2023","Veröffentlicht","Bezahlung der Bestellung","304-1051504-8973913","SONAX Aktionsset KratzerEntferner Lack (...","10.24","0","-4.92","1.94","7.26"
